"","Date_Hour","ID","temp","humidity","Latitude","Longitude","Pressure","PM1.0","PM2.5","PM10.0","PM2.5ATM","corrected_PM2.5","t1","logPM2.5"
"273085","2019-01-15 00:00:00",12939,59.2444444444444,46.7555555555556,40.80097,-124.15853,1007.51911111111,13.7756666666667,20.2655555555556,21.4437777777778,20.2651111111111,12.3553448888889,14,2.51408875397519
"273914","2019-01-15 01:00:00",12939,57.2444444444444,49.7777777777778,40.80097,-124.15853,1007.17,12.7706666666667,19.0272222222222,20.2388888888889,19.0272222222222,11.4491977777778,14.0416666666667,2.43791966446954
"274739","2019-01-15 02:00:00",12939,55.8444444444444,51.2444444444444,40.80097,-124.15853,1007.13866666667,7.87833333333333,12.0775555555556,12.8903333333333,12.0775555555556,7.68261244444444,14.0833333333333,2.03895965135463
"275558","2019-01-15 03:00:00",12939,55.2,52.7777777777778,40.80097,-124.15853,1006.72488888889,7.12955555555556,10.6818888888889,11.3278888888889,10.6818888888889,6.82064311111111,14.125,1.91995376522649
"276370","2019-01-15 04:00:00",12939,55.9555555555556,51.4666666666667,40.80097,-124.15853,1006.16777777778,3.32311111111111,5.013,5.32833333333333,5.013,3.961852,14.1666666666667,1.37671159270737
"277178","2019-01-15 05:00:00",12939,57.4666666666667,50.2888888888889,40.80097,-124.15853,1006.14377777778,2.03922222222222,3.11133333333333,3.36411111111111,3.11133333333333,3.06572533333333,14.2083333333333,1.12028419174435
"277990","2019-01-15 06:00:00",12939,58.3333333333333,52.9555555555556,40.80097,-124.15853,1006.33466666667,0.613555555555556,0.610888888888889,0.684,0.610888888888889,1.52829244444444,14.25,0.424151062774753
"278807","2019-01-15 07:00:00",12939,58,54.9777777777778,40.80097,-124.15853,1006.49088888889,1.58033333333333,2.48877777777778,2.75177777777778,2.48877777777778,2.34001288888889,14.2916666666667,0.850156437426616
"279620","2019-01-15 08:00:00",12939,57.8666666666667,55.5555555555556,40.80097,-124.15853,1006.38355555556,0.205,0.193222222222222,0.168555555555556,0.193222222222222,1.08791511111111,14.3333333333333,0.08426312251399
"280433","2019-01-15 09:00:00",12939,57.7111111111111,58.7111111111111,40.80097,-124.15853,1006.78133333333,0.191333333333333,0.154888888888889,0.233222222222222,0.154888888888889,0.798975111111112,14.375,-0.224425483749706
"281240","2019-01-15 10:00:00",12939,60.7111111111111,55.1777777777778,40.80097,-124.15853,1006.75288888889,0.165777777777778,0.145555555555556,0.319444444444444,0.145555555555556,1.09512444444444,14.4166666666667,0.0908680047054971
"282049","2019-01-15 11:00:00",12939,64.4883720930233,47.9767441860465,40.80097,-124.15853,1005.82023255814,0.155,0.0479069767441861,0.108837209302326,0.0479069767441861,1.65748465116279,14.4583333333333,0.505301182801393
"282853","2019-01-15 12:00:00",12939,67,41.5238095238095,40.80097,-124.15853,1004.54458333333,0.115892857142857,0.0542261904761905,0.0958928571428571,0.0542261904761905,2.21058595238095,14.5,0.793257617211065
"284443","2019-01-15 14:00:00",12939,67.9230769230769,39,40.80097,-124.15853,1003.36421052632,0,0.180951417004049,0.222287449392713,0.180951417004049,2.49201854251012,14.5833333333333,0.913093041712179
"285222","2019-01-15 15:00:00",12939,68.9545454545455,38.5454545454545,40.80097,-124.15853,1003.12714285714,0.005,0.175535714285714,0.182743506493506,0.175535714285714,2.52790798701299,14.625,0.927392078079874
"285998","2019-01-15 16:00:00",12939,66.6176470588235,41.4411764705882,40.80097,-124.15853,1003.18555555556,0.0204166666666667,0.0720833333333333,0.130857843137255,0.0720833333333333,2.22698343137255,14.6666666666667,0.800647948360958
"286766","2019-01-15 17:00:00",12939,65.0888888888889,44.4,40.80097,-124.15853,1003.02022222222,0.128777777777778,0.423222222222222,0.489666666666667,0.423222222222222,2.15888844444444,14.7083333333333,0.76959348018589
"287516","2019-01-15 18:00:00",12939,64.1333333333333,46.0666666666667,40.80097,-124.15853,1002.96066666667,2.28744444444444,3.32288888888889,3.52744444444444,3.32288888888889,3.53631377777778,14.75,1.26308487889774
