,...1,Date_Hour,ID,temp,humidity,Latitude,Longitude,Pressure,PM1.0,PM2.5,PM10.0,PM2.5ATM,corrected_PM2.5,logPM2.5
213,273181,1/15/19,15769,57.44444444,53.6,37.876976,-122.24854,978.9593333,0.202222222,0.185777778,0.207333333,0.185777778,1.250627556,0.22364547
214,273257,1/15/19,18281,57.4,64.26666667,37.854393,-122.247574,1001.123111,3.405444444,5.573555556,6.306111111,5.573555556,3.165023111,1.152160358
215,273152,1/15/19,15065,57.48888889,57.82222222,40.451164,-122.24359,1000.900889,23.24877778,41.37233333,47.26,39.13722222,21.30145111,3.058775198
216,273604,1/15/19,2906,55.04761905,67.04761905,38.07335,-122.2397,1011.165227,12.89285714,16.83169913,17.67312771,16.83169913,8.827353203,2.177855219
217,273445,1/15/19,20193,75.48888889,40.57777778,37.464176,-122.23888,1009.891556,0.819222222,1.261888889,1.355222222,1.261888889,2.924003111,1.072953606
218,273356,1/15/19,19299,58.22222222,56.55555556,37.766933,-122.23806,1011.840227,12.83399747,13.80845455,14.17846212,13.76561364,8.114648212,2.09367085
219,273184,1/15/19,15807,60,57,37.47806,-122.237076,1012.100889,3.319,4.914333333,5.476666667,4.914333333,3.438710667,1.235096595
220,273380,1/15/19,19447,71.6,37,37.860413,-122.23691,981.1382222,0.252333333,0.155222222,0.433555556,0.155222222,2.648936444,0.974158218
221,273351,1/15/19,19275,58.55555556,50.64444444,37.823654,-122.230865,998.6404444,3.461777778,3.549111111,3.686222222,3.549111111,3.264827556,1.183206945
222,273357,1/15/19,19301,61,48.04347826,37.82214,-122.2275,999.3665385,0.141270903,0.195384615,0.360978261,0.195384615,1.729077191,0.54758785
223,273102,1/15/19,13517,60,48.66666667,37.853737,-122.2266,976.3442222,0.151666667,0.293444444,0.377111111,0.293444444,1.727364889,0.546597062
224,273104,1/15/19,13997,59.31111111,48.66666667,37.83431,-122.22653,989.5268889,0.185,0.131222222,0.186111111,0.131222222,1.642360444,0.496134502
225,273349,1/15/19,19265,53,68.31818182,37.28867,-122.2255,965.2352273,0.210113636,0.679886364,1.002613636,0.679886364,0.255551364,-1.364331858
226,273669,1/15/19,4615,58,56,37.457714,-122.22478,1010.540889,2.548888889,3.363,3.692777778,3.363,2.711012,0.997321997
227,273526,1/15/19,22423,56.6744186,52.97674419,37.813843,-122.223694,1002.62186,0.152325581,0.231860465,0.513255814,0.231860465,1.327876279,0.283580883
228,273301,1/15/19,1874,53.17777778,74.66666667,38.066784,-122.220024,1004.917727,13.55601515,17.85906566,18.93857323,17.85906566,8.716550404,2.165223564
229,273523,1/15/19,22369,53.17647059,59,40.358196,-122.21882,992.4813889,5.692401961,8.270751634,9.23995915,8.270751634,5.027073856,1.614838077
230,273678,1/15/19,4801,62.55555556,44.62222222,37.784897,-122.21692,1009.104222,7.97,8.170666667,8.252444444,8.170666667,6.199616,1.824487355
231,273306,1/15/19,18901,68,41,37.825912,-122.21428,983.9711111,0.329666667,0.733333333,0.881888889,0.733333333,2.611066667,0.959758822
232,273231,1/15/19,17817,59,51.97777778,37.845192,-122.21056,981.8615556,0.130333333,0.171111111,0.270666667,0.171111111,1.381155556,0.322920508
233,273317,1/15/19,18995,53.88888889,64.2,37.365494,-122.20921,985.9631111,0.110333333,0.294666667,0.456333333,0.294666667,0.404565333,-0.904942039
234,273468,1/15/19,20747,55,57.24444444,37.838978,-122.20549,976.2353333,0.140777778,0.196777778,0.271222222,0.196777778,0.945884889,-0.055634399
235,273485,1/15/19,21251,55.04651163,61.86046512,37.890575,-122.20529,992.9048889,4.703219638,5.905945736,6.452067183,5.905945736,3.544203938,1.265313576
236,273318,1/15/19,18997,60,47.95555556,37.808174,-122.20474,998.0408889,0.163555556,0.247666667,0.357555556,0.247666667,1.763964,0.567563549
237,273635,1/15/19,3964,51.2,78.22222222,38.074215,-122.200226,1003.941111,14.048,17.63333333,18.33244444,17.63333333,8.295333333,2.115693108
238,273709,1/15/19,5868,57.53333333,56.62222222,37.385323,-122.19962,986.576,0.219555556,0.150222222,0.300555556,0.150222222,0.974503111,-0.025827568
