"","ID","Date.Local","Latitude","Longitude","t","PM2.5"
"83","6_1_7","1/4/19",37.687526,-121.784217,3.541666667,21
"84","6_1_7","1/4/19",37.687526,-121.784217,3.583333333,21
"85","6_1_7","1/4/19",37.687526,-121.784217,3.625,25
"86","6_1_7","1/4/19",37.687526,-121.784217,3.666666667,30
"87","6_1_7","1/4/19",37.687526,-121.784217,3.708333333,42
"88","6_1_7","1/4/19",37.687526,-121.784217,3.75,51
"89","6_1_7","1/4/19",37.687526,-121.784217,3.791666667,43
"90","6_1_7","1/4/19",37.687526,-121.784217,3.833333333,52
"91","6_1_7","1/4/19",37.687526,-121.784217,3.875,45
"92","6_1_7","1/4/19",37.687526,-121.784217,3.916666667,29
"93","6_1_7","1/4/19",37.687526,-121.784217,3.958333333,34
"94","6_1_7","1/5/19",37.687526,-121.784217,4,33
"95","6_1_7","1/5/19",37.687526,-121.784217,4.041666667,32
"96","6_1_7","1/5/19",37.687526,-121.784217,4.083333333,24
"97","6_1_7","1/5/19",37.687526,-121.784217,4.125,30
"98","6_1_7","1/5/19",37.687526,-121.784217,4.166666667,24
"99","6_1_7","1/5/19",37.687526,-121.784217,4.208333333,17
"100","6_1_7","1/5/19",37.687526,-121.784217,4.25,12
"101","6_1_7","1/5/19",37.687526,-121.784217,4.291666667,10
"102","6_1_7","1/5/19",37.687526,-121.784217,4.333333333,3
"103","6_1_7","1/5/19",37.687526,-121.784217,4.375,1
"104","6_1_7","1/5/19",37.687526,-121.784217,4.416666667,4
"105","6_1_7","1/5/19",37.687526,-121.784217,4.458333333,5
"106","6_1_7","1/5/19",37.687526,-121.784217,4.5,7
"107","6_1_7","1/5/19",37.687526,-121.784217,4.541666667,3
"108","6_1_7","1/5/19",37.687526,-121.784217,4.583333333,3
"109","6_1_7","1/5/19",37.687526,-121.784217,4.625,5
"110","6_1_7","1/5/19",37.687526,-121.784217,4.666666667,6
"111","6_1_7","1/5/19",37.687526,-121.784217,4.708333333,7
"112","6_1_7","1/5/19",37.687526,-121.784217,4.75,9
"113","6_1_7","1/5/19",37.687526,-121.784217,4.791666667,12
"114","6_1_7","1/5/19",37.687526,-121.784217,4.833333333,10
"115","6_1_7","1/5/19",37.687526,-121.784217,4.875,6
"116","6_1_7","1/5/19",37.687526,-121.784217,4.916666667,2
"117","6_1_7","1/5/19",37.687526,-121.784217,4.958333333,4
"118","6_1_7","1/6/19",37.687526,-121.784217,5,6
"119","6_1_7","1/6/19",37.687526,-121.784217,5.041666667,1
"120","6_1_7","1/6/19",37.687526,-121.784217,5.083333333,1e-04
"121","6_1_7","1/6/19",37.687526,-121.784217,5.125,4
"122","6_1_7","1/6/19",37.687526,-121.784217,5.166666667,7
"123","6_1_7","1/6/19",37.687526,-121.784217,5.208333333,7
"124","6_1_7","1/6/19",37.687526,-121.784217,5.25,3
"125","6_1_7","1/6/19",37.687526,-121.784217,5.291666667,1
"126","6_1_7","1/6/19",37.687526,-121.784217,5.333333333,4
"127","6_1_7","1/6/19",37.687526,-121.784217,5.375,6
"128","6_1_7","1/6/19",37.687526,-121.784217,5.416666667,5
"129","6_1_7","1/6/19",37.687526,-121.784217,5.458333333,3
"130","6_1_7","1/6/19",37.687526,-121.784217,5.5,3
"131","6_1_7","1/6/19",37.687526,-121.784217,5.541666667,2
"132","6_1_7","1/6/19",37.687526,-121.784217,5.583333333,1e-04
"133","6_1_7","1/6/19",37.687526,-121.784217,5.625,3
"134","6_1_7","1/6/19",37.687526,-121.784217,5.666666667,1
"135","6_1_7","1/6/19",37.687526,-121.784217,5.708333333,1e-04
"136","6_1_7","1/6/19",37.687526,-121.784217,5.75,3
"137","6_1_7","1/6/19",37.687526,-121.784217,5.791666667,3
"138","6_1_7","1/6/19",37.687526,-121.784217,5.833333333,2
"139","6_1_7","1/6/19",37.687526,-121.784217,5.875,3
"140","6_1_7","1/6/19",37.687526,-121.784217,5.916666667,1e-04
"141","6_1_7","1/6/19",37.687526,-121.784217,5.958333333,1e-04
"142","6_1_7","1/7/19",37.687526,-121.784217,6,2
"143","6_1_7","1/7/19",37.687526,-121.784217,6.041666667,5
"144","6_1_7","1/7/19",37.687526,-121.784217,6.083333333,5
"145","6_1_7","1/7/19",37.687526,-121.784217,6.125,1e-04
"146","6_1_7","1/7/19",37.687526,-121.784217,6.166666667,1e-04
"147","6_1_7","1/7/19",37.687526,-121.784217,6.208333333,1e-04
"148","6_1_7","1/7/19",37.687526,-121.784217,6.25,4
"149","6_1_7","1/7/19",37.687526,-121.784217,6.291666667,5
"150","6_1_7","1/7/19",37.687526,-121.784217,6.333333333,3
"151","6_1_7","1/7/19",37.687526,-121.784217,6.416666667,2
"152","6_1_7","1/7/19",37.687526,-121.784217,6.458333333,4
"153","6_1_7","1/7/19",37.687526,-121.784217,6.5,5
"154","6_1_7","1/7/19",37.687526,-121.784217,6.541666667,3
"155","6_1_7","1/7/19",37.687526,-121.784217,6.583333333,1
"156","6_1_7","1/7/19",37.687526,-121.784217,6.625,3
"157","6_1_7","1/7/19",37.687526,-121.784217,6.666666667,4
"158","6_1_7","1/7/19",37.687526,-121.784217,6.708333333,2
"159","6_1_7","1/7/19",37.687526,-121.784217,6.75,1
"160","6_1_7","1/7/19",37.687526,-121.784217,6.791666667,4
"161","6_1_7","1/7/19",37.687526,-121.784217,6.833333333,4
"162","6_1_7","1/7/19",37.687526,-121.784217,6.875,2
"163","6_1_7","1/7/19",37.687526,-121.784217,6.916666667,3
"164","6_1_7","1/7/19",37.687526,-121.784217,6.958333333,6
"165","6_1_9","1/1/19",37.743065,-122.169935,0,4
"166","6_1_9","1/1/19",37.743065,-122.169935,0.041666667,3
"167","6_1_9","1/1/19",37.743065,-122.169935,0.083333333,1e-04
"168","6_1_9","1/1/19",37.743065,-122.169935,0.125,2
"169","6_1_9","1/1/19",37.743065,-122.169935,0.166666667,1
"170","6_1_9","1/1/19",37.743065,-122.169935,0.208333333,1e-04
"171","6_1_9","1/1/19",37.743065,-122.169935,0.25,4
"172","6_1_9","1/1/19",37.743065,-122.169935,0.291666667,3
"173","6_1_9","1/1/19",37.743065,-122.169935,0.333333333,1
"174","6_1_9","1/1/19",37.743065,-122.169935,0.375,1e-04
"175","6_1_9","1/1/19",37.743065,-122.169935,0.416666667,1e-04
"176","6_1_9","1/1/19",37.743065,-122.169935,0.458333333,3
"177","6_1_9","1/1/19",37.743065,-122.169935,0.5,1e-04
"178","6_1_9","1/1/19",37.743065,-122.169935,0.541666667,1e-04
"179","6_1_9","1/1/19",37.743065,-122.169935,0.583333333,2
"180","6_1_9","1/1/19",37.743065,-122.169935,0.625,1e-04
"181","6_1_9","1/1/19",37.743065,-122.169935,0.666666667,1
"182","6_1_9","1/1/19",37.743065,-122.169935,0.708333333,8
"183","6_1_9","1/1/19",37.743065,-122.169935,0.75,16
"184","6_1_9","1/1/19",37.743065,-122.169935,0.791666667,20
"185","6_1_9","1/1/19",37.743065,-122.169935,0.833333333,11
"186","6_1_9","1/1/19",37.743065,-122.169935,0.875,11
"187","6_1_9","1/1/19",37.743065,-122.169935,0.916666667,9
